"Name","Team","Pos","Pos","TrueValue","Diff","Average ADP","Markers"
"Dylan Sampson","CLE","RB","RB","15.12","-","15.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Keon Coleman","BUF","WR","WR","16.02","+53Picks","20.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sam Darnold","SEA","QB","QB","16.02","-19Picks","14.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"David Njoku","LAC","TE","TE","16.04","+13Picks","17.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colby Parkinson","LAR","TE","TE","16.05","+66Picks","21.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Daniel Jones","IND","QB","QB","16.06","-4Picks","16.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jonah Coleman","DEN","RB","RB","16.06","-17Picks","15.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ryan Flournoy","DAL","WR","WR","16.07","+44Picks","20.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bryce Young","CAR","QB","QB","16.08","+10Picks","17.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Washington Jr.","LV","RB","RB","16.08","-26Picks","14.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zachariah Branch","ATL","WR","WR","16.10","+20Picks","18.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyrone Tracy Jr.","NYG","RB","RB","16.12","-19Picks","15.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cole Kmet","CHI","TE","TE","17.01","-23Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tank Bigsby","PHI","RB","RB","17.02","-20Picks","15.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Alvin Kamara","NO","RB","RB","17.05","-34Picks","14.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Aaron Rodgers","PIT","QB","QB","17.06","-29Picks","15.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacoby Brissett","ARI","QB","QB","17.07","+7Picks","18.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Gunnar Helm","TEN","TE","TE","17.08","+33Picks","20.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Najee Harris","NYG","RB","RB","17.10","+18Picks","19.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tua Tagovailoa","ATL","QB","QB","17.11","+34Picks","20.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Devaughn Vele","NO","WR","WR","18.02","+34Picks","20.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Shedeur Sanders","CLE","QB","QB","18.02","-3Picks","17.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brian Robinson","ATL","RB","RB","18.03","-39Picks","14.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylin Noel","HOU","WR","WR","18.06","+4Picks","18.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tory Horton","SEA","WR","WR","18.07","+18Picks","20.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Rashod Bateman","BAL","WR","WR","18.08","+21Picks","20.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isaac TeSlaa","DET","WR","WR","18.08","+17Picks","20.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen McMillan","TB","WR","WR","18.10","-26Picks","16.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Antonio Williams","WAS","WR","WR","18.10","+22Picks","20.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jack Bech","LV","WR","WR","19.04","+18Picks","20.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Troy Franklin","DEN","WR","WR","19.04","+22Picks","21.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Terrance Ferguson","LAR","TE","TE","19.04","-33Picks","16.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kimani Vidal","LAC","RB","RB","19.06","+16Picks","20.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mason Taylor","NYJ","TE","TE","19.08","-","19.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Bell","MIA","WR","WR","19.08","+17Picks","21.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justice Hill","BAL","RB","RB","19.10","-57Picks","15.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Elic Ayomanor","TEN","WR","WR","19.11","+15Picks","21.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Fernando Mendoza","LV","QB","QB","19.12","-52Picks","15.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dawson Knox","BUF","TE","TE","20.01","-59Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Emmett Johnson","KC","RB","RB","20.01","-39Picks","16.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Eli Stowers","PHI","TE","TE","20.01","+10Picks","20.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Darnell Mooney","NYG","WR","WR","20.01","+20Picks","21.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nicholas Singleton","TEN","RB","RB","20.02","-18Picks","18.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chimere Dike","TEN","WR","WR","20.03","-31Picks","17.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Tavion Sanders","CAR","TE","TE","20.03","-61Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Theo Johnson","NYG","TE","TE","20.03","+1Pick","20.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ted Hurst III","TB","WR","WR","20.04","+8Picks","20.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"James Conner","ARI","RB","RB","20.04","-","20.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian Kirk","SF","WR","WR","20.05","-27Picks","18.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Noah Gray","KC","TE","TE","20.05","-63Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Braelon Allen","NYJ","RB","RB","20.05","-26Picks","18.03","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tommy Tremble","CAR","TE","TE","20.07","-65Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kaelon Black","SF","RB","RB","20.08","-","Undrafted","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Michael Penix Jr.","ATL","QB","QB","20.09","-9Picks","19.12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Marvin Mims Jr.","DEN","WR","WR","20.09","-17Picks","19.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Elijah Arroyo","SEA","TE","TE","20.10","-68Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brashard Smith","KC","RB","RB","20.10","-12Picks","19.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Darnell Washington","PIT","TE","TE","20.11","-69Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Max Klare","LAR","TE","TE","20.11","+10Picks","21.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Tonges","SF","TE","TE","20.12","+1Pick","21.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ray Davis","BUF","RB","RB","20.12","-16Picks","19.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kaleb Johnson","GB","RB","RB","21.01","-48Picks","17.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Elijah Sarratt","BAL","WR","WR","21.01","-12Picks","20.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Emanuel Wilson","SEA","RB","RB","21.02","+8Picks","21.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Skyler Bell","BUF","WR","WR","21.02","-72Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaylen Wright","MIA","RB","RB","21.02","+6Picks","21.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kaytron Allen","WAS","RB","RB","21.04","-5Picks","20.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Sean Tucker","TB","RB","RB","21.08","-4Picks","21.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Demond Claiborne","MIN","RB","RB","21.09","-7Picks","21.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Josh Jacobs","GB","RB","RB","21.09","-202Picks","4.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Devin Neal","NO","RB","RB","21.10","-38Picks","18.08","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Brazzell II","CAR","WR","WR","21.11","+149Picks","34.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zavion Thomas","CHI","WR","WR","34.04","-230Picks","15.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaydon Blue","PHI","RB","RB","Undrafted","-","20.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Audric Estimé","NO","RB","RB","Undrafted","-","20.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
